grid_id,ndvi,lst,urban,flood,vegetation_stress,flood_norm,lst_norm,veg_norm,urban_norm,crii,risk_category
50.0,0.4759610035959462,30.78226518158317,1.5357093904004926,9.885721384394174,0.5240389964040538,0.8491849024088596,0.5678868234583518,0.19581197178165688,0.024070019671114808,0.40923842932999577,Moderate
51.0,0.427457542992988,30.154092028551247,6.271533590089813,9.198180233167626,0.572542457007012,0.7463082413548123,0.33892622428194485,0.398234801929934,0.1442430367998452,0.4069280760916341,Moderate
52.0,0.4166987909992372,30.103273004368475,5.936181812827219,8.742249877387193,0.5833012090007628,0.6780874627262186,0.32040337883672443,0.4431350420440512,0.1357333807877467,0.39433981609868524,Moderate
53.0,0.4317796905306745,30.64804611851372,2.426537509579275,9.91479212691517,0.5682203094693254,0.8535347524790506,0.5189657943552248,0.380196886160197,0.0466750612247792,0.44984312355481293,Moderate
54.0,0.4639755339435545,30.21953666681276,1.0525463911866633,10.26899883875594,0.5360244660564455,0.9065346402270122,0.3627799078036258,0.2458317571234363,0.011809607769781709,0.38173897823096403,Moderate
55.0,0.4032755938759942,30.840733462372956,1.2427337282003994,10.397841044201389,0.5967244061240058,0.9258132766772398,0.5891977192485189,0.4991549943845106,0.01663567080441012,0.5077004152786699,High
56.0,0.4926095126110363,31.62289469472921,0.8127564795990544,10.261360376648485,0.5073904873889636,0.9053916984906509,0.874284885977124,0.12633160335660243,0.005724863924263782,0.47793326293716026,Moderate
57.0,0.5210934542797869,30.466627686377706,0.5871488535259383,10.893642760902315,0.4789065457202131,1.0,0.45284123503106244,0.007457609322137904,0.0,0.3650747110883001,Moderate
58.0,0.5151840538838388,30.53536444464549,1.2538621931090217,9.949431136113368,0.4848159461161612,0.8587177813089233,0.4778948516692072,0.0321197166801892,0.01691805907468588,0.3464126021832514,Moderate
59.0,0.4374728114454639,30.7791153970482,2.3449336121300988,10.176003804113938,0.5625271885545361,0.8926198096143174,0.5667387696917707,0.35643739284524534,0.044604336858242465,0.465100077252394,Moderate
60.0,0.4330038573649979,30.50057905552012,3.625333563236469,9.809585926418697,0.5669961426350021,0.8377927672757628,0.46521604886095425,0.37508798646320773,0.07709488523333323,0.4387979219583145,Moderate
61.0,0.4153636757829263,30.78532423562706,1.518706847886442,10.677468100156805,0.5846363242170737,0.9676538236841308,0.5690018071908174,0.44870697025907047,0.023638574848288192,0.5022502939955767,High
62.0,0.3711570506568278,31.497224922779253,1.6412347544368604,10.25547202301536,0.6288429493431722,0.9045106251762745,0.8284799575984625,0.6331975212030385,0.026747758718246216,0.5982339656740054,High
63.0,0.4113466236508814,31.826352833694276,1.3324135024945247,9.979284469470176,0.5886533763491186,0.8631847303076892,0.9484426196846485,0.46547161037574103,0.01891132306638716,0.5740025708586165,High
