grid_id,lat_min,lat_max,lon_min,lon_max,ndvi,lst,urban,flood,rainfall,data_completeness
893,13.0,13.5,94.5,95.0,0.4968435344595794,26.74222604634506,0.0,0.9996079744576766,0.0057234838297952175,0.2
894,13.0,13.5,95.0,95.5,0.5457909800927037,26.71264995882539,0.0,0.999738133935816,0.00578451434341855,0.2
895,13.0,13.5,95.5,96.0,0.5457909800927037,26.591425445802546,0.0,0.9997823043674756,0.0058956384206876366,0.0
896,13.0,13.5,96.0,96.5,0.5467688807415031,26.458158224044762,0.0,0.9997888379421639,0.006042504244488968,0.0
897,13.0,13.5,96.5,97.0,0.5472578310659029,26.407393168610223,0.0,0.9998038349026372,0.006202504651334565,0.2
898,13.0,13.5,97.0,97.5,0.4688498867807306,26.33608392690819,0.0,0.999808458565003,0.006344439527193152,0.2
899,13.0,13.5,97.5,98.0,0.4688498867807306,26.33270421589149,0.0,1.0,0.006406235249688335,0.4
900,13.5,14.0,68.0,68.5,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
901,13.5,14.0,68.5,69.0,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
902,13.5,14.0,69.0,69.5,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
903,13.5,14.0,69.5,70.0,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
904,13.5,14.0,70.0,70.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
905,13.5,14.0,70.5,71.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
906,13.5,14.0,71.0,71.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
907,13.5,14.0,71.5,72.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
908,13.5,14.0,72.0,72.5,0.214956059367569,29.195653187682396,0.0,0.9999984219824847,0.00729275128985245,0.0
909,13.5,14.0,72.5,73.0,0.214956059367569,29.0625804497898,0.0,0.9999936734082301,0.00729275128985245,0.0
910,13.5,14.0,73.0,73.5,0.21594069064128396,28.84814545992569,0.0,0.9999907521387844,0.00729275128985245,0.0
911,13.5,14.0,73.5,74.0,0.2268265713835151,28.84814545992569,0.0,0.9999908767824313,0.00729275128985245,0.2
912,13.5,14.0,74.0,74.5,0.5513685535925025,29.7364855183709,0.0,1.0,0.00729275128985245,0.4
913,13.5,14.0,74.5,75.0,0.6147168834078779,30.129281364872856,0.6701004028726182,0.970418159628379,0.0070138699052608,1.0
914,13.5,14.0,75.0,75.5,0.614111975149731,28.04787259919329,0.4191135925274484,0.6867536552448477,0.0044850136295972,1.0
915,13.5,14.0,75.5,76.0,0.5707179101658753,29.43946619883773,0.7925499450066823,0.7222176852440381,0.0024269260569169,1.0
916,13.5,14.0,76.0,76.5,0.4160415420139786,33.27258451877349,0.4930281005265646,0.5027795275880267,0.0019042534570096,1.0
917,13.5,14.0,76.5,77.0,0.414895257014962,34.09643377381731,0.4508201073489796,0.2867055810744622,0.0017884742298108,1.0
918,13.5,14.0,77.0,77.5,0.4166640487840811,34.132807372873486,0.6063104082335955,0.2923105043910481,0.0017963346265274,1.0
919,13.5,14.0,77.5,78.0,0.4341495111411113,33.157008232385266,0.573975601729626,0.3373678485401983,0.0016486046199574,1.0
920,13.5,14.0,78.0,78.5,0.455787390747643,33.33094239359515,0.3399520529492781,0.351692212281895,0.0016855621067795,1.0
921,13.5,14.0,78.5,79.0,0.4635363094530901,33.613498349310966,0.4525331810953617,0.4251084561571696,0.0017582695730949,1.0
922,13.5,14.0,79.0,79.5,0.5948306872112356,31.190726058483637,0.4517215861201953,0.3774309784793629,0.002473538328081,1.0
923,13.5,14.0,79.5,80.0,0.5238783550781727,33.050257194594074,0.4923022995864269,0.333430038866684,0.0030606138933132,1.0
924,13.5,14.0,80.0,80.5,0.3652610208343125,33.23491893680906,0.1411214053343441,0.9089401749194712,0.0030523522777333,1.0
925,13.5,14.0,80.5,81.0,0.4440005794654275,33.04088943003407,0.0,1.0,0.0034292418480891002,0.4
926,13.5,14.0,81.0,81.5,0.446311418522082,32.2201003416497,0.0,0.9998345418718797,0.003522005107884801,0.0
927,13.5,14.0,81.5,82.0,0.4478926012577026,31.952466422504457,0.0,0.9996452991378422,0.003842348762186761,0.0
928,13.5,14.0,82.0,82.5,0.4580846765855898,31.456151684050823,0.0,0.999569077027023,0.004271141506431933,0.0
929,13.5,14.0,82.5,83.0,0.48587098769491555,30.933079204758613,0.0,0.999519706001597,0.004582069638838662,0.0
930,13.5,14.0,83.0,83.5,0.5274391370110043,30.58711670021046,0.0,0.999521239241335,0.0047665218071371905,0.0
931,13.5,14.0,83.5,84.0,0.5645095349732413,30.427707964854527,0.0,0.9995898632695139,0.004895695600393992,0.0
932,13.5,14.0,84.0,84.5,0.5851252163349973,30.374693679021323,0.0,0.9997163361059005,0.004993377967043439,0.0
933,13.5,14.0,84.5,85.0,0.5943648365292171,30.356591849029208,0.0,0.9997511540366797,0.0050730391780561546,0.0
934,13.5,14.0,85.0,85.5,0.6019189353665485,30.33216399903714,0.0,0.9997388719780964,0.005135159460033402,0.0
935,13.5,14.0,85.5,86.0,0.6107826340533419,30.292183532414434,0.0,0.9996336139932357,0.00517413074151779,0.0
936,13.5,14.0,86.0,86.5,0.6187466150855077,30.248065765561428,0.0,0.9994109151221984,0.005192051737964536,0.0
937,13.5,14.0,86.5,87.0,0.623705764796436,30.215266551430314,0.0,0.9991677866404928,0.005197701295492112,0.0
938,13.5,14.0,87.0,87.5,0.6257930985921785,30.198802257499413,0.0,0.9989835026429557,0.005198795279805971,0.0
939,13.5,14.0,87.5,88.0,0.6263537884050581,30.193276338364036,0.0,0.9988811226443238,0.0051988934515425,0.0
940,13.5,14.0,88.0,88.5,0.6264388393773271,30.19205654785963,0.0,0.9988401706448711,0.0051988934515425,0.0
941,13.5,14.0,88.5,89.0,0.6264441598085633,30.191884162562662,0.0,0.9988290019177477,0.0051988934515425,0.0
942,13.5,14.0,89.0,89.5,0.6264441598085633,30.191870902155202,0.0,0.9988271404632272,0.0051988934515425,0.0
943,13.5,14.0,89.5,90.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
944,13.5,14.0,90.0,90.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
945,13.5,14.0,90.5,91.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
946,13.5,14.0,91.0,91.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
947,13.5,14.0,91.5,92.0,0.6264441598085633,30.191870902155202,0.0,0.9991202479558134,0.0051988934515425,0.2
948,13.5,14.0,92.0,92.5,0.6264441598085633,27.77326667065845,0.0,0.9991202479558134,0.0056172480164561,0.2
949,13.5,14.0,92.5,93.0,0.5090350256471801,27.77326667065845,0.0007224402148666,0.993581243332944,0.0056172480164561,1.0
950,13.5,14.0,93.0,93.5,0.4858187615523893,27.39794097577357,0.0004005258764806,0.9978810735206934,0.0056172480164561,1.0
951,13.5,14.0,93.5,94.0,0.4478960888264551,27.15162426567284,0.0,1.0,0.005665408292856084,0.4
952,13.5,14.0,94.0,94.5,0.4478960888264551,26.91960816973784,0.0,0.9996079744576766,0.00570322062567126,0.2
953,13.5,14.0,94.5,95.0,0.4723698116430173,26.727438002585224,0.0,0.9996079744576766,0.005713910927308333,0.2
954,13.5,14.0,95.0,95.5,0.5213172572761415,26.720043980705306,0.0,0.9996730541967462,0.005753999086606884,0.2
955,13.5,14.0,95.5,96.0,0.5457909800927037,26.65203770231397,0.0,0.9997602191516458,0.005840076382053094,0.0
956,13.5,14.0,96.0,96.5,0.5462799304171033,26.524791834923654,0.0,0.9997855711548198,0.005969071332588302,0.0
957,13.5,14.0,96.5,97.0,0.5465244055793033,26.432775696327493,0.0,0.9997963364224005,0.006122504447911766,0.0
958,13.5,14.0,97.0,97.5,0.49173628022718385,26.371738547759207,0.0,0.9998000856625189,0.006344439527193152,0.2
959,13.5,14.0,97.5,98.0,0.3808607667629642,26.33608392690819,0.0,0.9996886954137736,0.006375337388440743,0.8
960,14.0,14.5,68.0,68.5,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
961,14.0,14.5,68.5,69.0,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
962,14.0,14.5,69.0,69.5,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
963,14.0,14.5,69.5,70.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
964,14.0,14.5,70.0,70.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
965,14.0,14.5,70.5,71.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
966,14.0,14.5,71.0,71.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
967,14.0,14.5,71.5,72.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
968,14.0,14.5,72.0,72.5,0.214956059367569,29.211530847055855,0.0,0.9999992109912423,0.00729275128985245,0.0
969,14.0,14.5,72.5,73.0,0.214956059367569,29.129116818736097,0.0,0.9999960476953573,0.00729275128985245,0.0
970,14.0,14.5,73.0,73.5,0.21544837500442648,28.955362954857744,0.0,0.9999936734082301,0.00729275128985245,0.0
971,14.0,14.5,73.5,74.0,0.3890975624880088,29.068491878803194,0.0,0.9999908767824313,0.00729275128985245,0.2
972,14.0,14.5,74.0,74.5,0.5513685535925025,31.115130538763083,0.1166359705076377,0.9968848466824594,0.0064523367606194,1.0
973,14.0,14.5,74.5,75.0,0.5976772040670036,29.12573500253653,0.2188646264599981,0.7672294371722411,0.0059519740239932,1.0
974,14.0,14.5,75.0,75.5,0.542595730044048,30.991984360598742,0.4690078302271439,0.5530447868906374,0.0027622232331025,1.0
975,14.0,14.5,75.5,76.0,0.5025739302982799,31.808912924498348,0.9702284453816944,0.6427134178925461,0.0018650555059663,1.0
976,14.0,14.5,76.0,76.5,0.4257697584895022,34.06037809701463,0.598013082290661,0.3557007378498267,0.0017007638051759,1.0
977,14.0,14.5,76.5,77.0,0.3501094325580888,36.07106906611851,0.3954750617624373,0.4315905619043783,0.0014914042433493,1.0
978,14.0,14.5,77.0,77.5,0.3655203613087612,35.259895989350966,0.3347676301621163,0.3248687685660659,0.001499641996324,1.0
979,14.0,14.5,77.5,78.0,0.4034990214264148,35.07034277537151,0.3923839852105867,0.5497134611081904,0.001296975859535,1.0
980,14.0,14.5,78.0,78.5,0.4217328453835985,34.95288860606302,0.2818284964917623,0.5625907236656101,0.0016293956317644,1.0
981,14.0,14.5,78.5,79.0,0.4575219250132478,34.350749482325995,0.4261345638955876,0.3912530451561782,0.0018813702763028,1.0
982,14.0,14.5,79.0,79.5,0.5043776230683146,32.85739026291957,0.2444625489229114,0.6915679092684893,0.0023185036046095,1.0
983,14.0,14.5,79.5,80.0,0.4866964615496897,33.93032982621637,0.6152554030617345,0.5075160984278485,0.0028508471612679,1.0
984,14.0,14.5,80.0,80.5,0.4212186035085921,33.288862139094334,0.2978094049342829,0.9264218007050176,0.0028731951348803,1.0
985,14.0,14.5,80.5,81.0,0.4326317091843883,33.04088943003407,0.0,0.9264218007050176,0.0030523522777333,0.2
986,14.0,14.5,81.0,81.5,0.44515599899375474,32.630494885841884,0.0,0.9997399205048609,0.0034756234779869505,0.2
987,14.0,14.5,81.5,82.0,0.4471020098898923,32.08628338207708,0.0,0.9996926098213516,0.003682176935035781,0.0
988,14.0,14.5,82.0,82.5,0.4529886389216462,31.70430905327764,0.0,0.9996071880824327,0.004056745134309347,0.0
989,14.0,14.5,82.5,83.0,0.4719778321402527,31.194615444404718,0.0,0.999545158134179,0.004426605572635297,0.0
990,14.0,14.5,83.0,83.5,0.50665506235296,30.760097952484536,0.0,0.9995331986877569,0.004674295722987927,0.0
991,14.0,14.5,83.5,84.0,0.5459743359921228,30.507412332532493,0.0,0.9995615309786354,0.004831108703765592,0.0
992,14.0,14.5,84.0,84.5,0.5748173756541193,30.401200821937927,0.0,0.9996530996877072,0.004944536783718715,0.0
993,14.0,14.5,84.5,85.0,0.5897450264321071,30.365642764025267,0.0,0.9997276040419985,0.005033208572549797,0.0
994,14.0,14.5,85.0,85.5,0.5981418859478829,30.344377924033175,0.0,0.9997332380100474,0.005104099319044778,0.0
995,14.0,14.5,85.5,86.0,0.6063507847099452,30.312173765725788,0.0,0.9996834260016416,0.005154645100775596,0.0
996,14.0,14.5,86.0,86.5,0.6147646245694247,30.27012464898793,0.0,0.9995222645577171,0.0051830912397411635,0.0
997,14.0,14.5,86.5,87.0,0.6212261899409719,30.23166615849587,0.0,0.9992893508813456,0.005194876516728324,0.0
998,14.0,14.5,87.0,87.5,0.6247494316943072,30.207034404464864,0.0,0.9990756446417242,0.005198248287649042,0.0
999,14.0,14.5,87.5,88.0,0.6260734434986183,30.196039297931726,0.0,0.9989323126436398,0.005198844365674235,0.0
1000,14.0,14.5,88.0,88.5,0.6263963138911925,30.192666443111833,0.0,0.9988606466445975,0.0051988934515425,0.0
1001,14.0,14.5,88.5,89.0,0.6264414995929453,30.191970355211147,0.0,0.9988345862813094,0.0051988934515425,0.0
1002,14.0,14.5,89.0,89.5,0.6264441598085633,30.19187753235893,0.0,0.9988280711904874,0.0051988934515425,0.0
1003,14.0,14.5,89.5,90.0,0.6264441598085633,30.191870902155202,0.0,0.9988270688688226,0.0051988934515425,0.0
1004,14.0,14.5,90.0,90.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
1005,14.0,14.5,90.5,91.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
1006,14.0,14.5,91.0,91.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
1007,14.0,14.5,91.5,92.0,0.6264441598085633,30.191870902155202,0.0,0.9989736226151156,0.0051988934515425,0.0
1008,14.0,14.5,92.0,92.5,0.6264441598085633,28.982568786406826,0.0,0.9990469352854645,0.0054080707339993,0.0
1009,14.0,14.5,92.5,93.0,0.5090350256471801,27.77326667065845,0.0002002629382403,0.9989993759010778,0.0056172480164561,0.0
1010,14.0,14.5,93.0,93.5,0.3833562974011414,28.28192466943155,0.0030629808978361,0.9989518165166912,0.0056172480164561,0.8
1011,14.0,14.5,93.5,94.0,0.4478960888264551,27.39794097577357,0.0,1.0,0.005641328154656093,0.4
1012,14.0,14.5,94.0,94.5,0.4478960888264551,27.15162426567284,0.0,0.9996079744576766,0.005684314459263672,0.2
1013,14.0,14.5,94.5,95.0,0.4601329502347362,26.823523086161533,0.0,0.9996079744576766,0.005708565776489797,0.0
1014,14.0,14.5,95.0,95.5,0.4968435344595794,26.723740991645265,0.0,0.9996405143272113,0.005733955006957609,0.0
1015,14.0,14.5,95.5,96.0,0.5335541186844226,26.686040841509637,0.0,0.9997166366741961,0.005797037734329989,0.0
1016,14.0,14.5,96.0,96.5,0.5460354552549035,26.58841476861881,0.0,0.9997728951532328,0.005904573857320698,0.0
1017,14.0,14.5,96.5,97.0,0.5461576928360035,26.478783765625572,0.0,0.9997909537886102,0.006045787890250034,0.0
1018,14.0,14.5,97.0,97.5,0.5303901832548203,26.45577973097653,0.0,0.9997398246011919,0.006359888457816948,0.2
1019,14.0,14.5,97.5,98.0,0.5146226736736371,28.101226000493625,0.0017414410254583,0.9992307126513668,0.0107518574880533,1.0
1020,14.5,15.0,68.0,68.5,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
1021,14.5,15.0,68.5,69.0,0.214956059367569,29.227408506429317,0.0,1.0,0.0051988934515425,0.0
1022,14.5,15.0,69.0,69.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
1023,14.5,15.0,69.5,70.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
1024,14.5,15.0,70.0,70.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
1025,14.5,15.0,70.5,71.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
1026,14.5,15.0,71.0,71.5,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
1027,14.5,15.0,71.5,72.0,0.214956059367569,29.227408506429317,0.0,1.0,0.00729275128985245,0.0
1028,14.5,15.0,72.0,72.5,0.214956059367569,29.219469676742584,0.0,0.9999996054956212,0.00729275128985245,0.0
1029,14.5,15.0,72.5,73.0,0.214956059367569,29.170323832895974,0.0,0.9999976293432998,0.00729275128985245,0.2
1030,14.5,15.0,73.0,73.5,0.21544837500442648,29.129116818736097,0.0,0.9999948605517937,0.00729275128985245,0.2
1031,14.5,15.0,73.5,74.0,0.5148385585158197,29.129116818736097,0.0,1.0,0.0069027945268852,0.6
1032,14.5,15.0,74.0,74.5,0.623819370251173,29.181620802748647,0.2445597192677239,0.9899264688059892,0.0060496229803959,1.0
1033,14.5,15.0,74.5,75.0,0.633998753287755,28.663915601719296,0.1772407434467858,0.681935964352998,0.0037184439660123,1.0
1034,14.5,15.0,75.0,75.5,0.465537132481481,33.47151565064861,0.6764887012467119,0.4590340799700307,0.0020521469220477,1.0
1035,14.5,15.0,75.5,76.0,0.416455809297779,34.524025497787,0.6803368429808979,0.5793436385515766,0.0016742382497093,1.0
1036,14.5,15.0,76.0,76.5,0.3657520957136581,35.6692866714261,0.4229033959405655,0.3434200211579312,0.0015757336790624,1.0
1037,14.5,15.0,76.5,77.0,0.3297551839445155,35.884580241557266,0.3727277975388292,0.4144103531944921,0.0013770783184093,1.0
1038,14.5,15.0,77.0,77.5,0.3714369161258293,36.03173867212538,0.2889805554670887,0.5822775235674621,0.001335607706181,1.0
1039,14.5,15.0,77.5,78.0,0.398523387621547,35.84067186491147,0.6640093810581733,0.6156556786905157,0.0012940748370072,1.0
1040,14.5,15.0,78.0,78.5,0.3450969988208558,36.84570212517432,0.4125928430945387,0.7390924451930266,0.0015334724870555,1.0
1041,14.5,15.0,78.5,79.0,0.4693999970511592,34.80379675228863,0.5196491835631027,0.5665118009734695,0.0018114176218615,1.0
1042,14.5,15.0,79.0,79.5,0.4777982758529859,33.85721969687749,0.243003435018848,0.4865429909595193,0.002369992271094,1.0
1043,14.5,15.0,79.5,80.0,0.4730928141146679,34.63710803107288,0.3955976661124595,0.419282750982182,0.0027518271271287,1.0
1044,14.5,15.0,80.0,80.5,0.4326317091843883,32.22060580598129,0.1676089420461397,0.9222350613521968,0.0027977721031294,1.0
1045,14.5,15.0,80.5,81.0,0.4326317091843883,33.04088943003407,0.0,0.9264218007050176,0.0028731951348803,0.2
1046,14.5,15.0,81.0,81.5,0.43889385408907156,32.83569215793798,0.0,0.9630572052631845,0.003263987877860125,0.2
1047,14.5,15.0,81.5,82.0,0.4461290044418235,32.35838913395948,0.0,0.999649898951892,0.0035789002065113656,0.0
1048,14.5,15.0,82.0,82.5,0.4500453244057693,31.89529621767736,0.0,0.9996285435171623,0.003869461034672564,0.0
1049,14.5,15.0,82.5,83.0,0.46248323553094944,31.44946224884118,0.0,0.9995761731083058,0.004241675353472322,0.0
1050,14.5,15.0,83.0,83.5,0.48931644724660633,30.977356698444627,0.0,0.9995533445564072,0.004550450647811612,0.0
1051,14.5,15.0,83.5,84.0,0.5263146991725414,30.633755142508512,0.0,0.9995574377675214,0.004752702213376759,0.0
