grid_id,spi3_mean,spi3_min,drought_flag,rainfall
548,-0.6933627002429691,-1.7246091070403562,1,0.6155604500404949
549,-0.4435253936176511,-1.680981397764711,1,0.5739208989362752
555,-0.7357774548349949,-1.6020984628076922,1,0.6226295758058326
556,-0.7231134290817655,-1.6567834371167018,1,0.6205189048469609
557,-0.6353368748282937,-1.557878876239381,1,0.605889479138049
558,-0.22878010837680354,-1.5033308651816704,1,0.5381300180628006
559,-0.07400383332028942,-1.5492280992175218,1,0.5123339722200483
560,0.3016198328746753,-1.2325773616857765,1,0.4497300278542207
561,0.7643776165366228,-0.9195131142098748,0,0.37260373057722956
562,0.8257451315419398,-0.9896194281026109,0,0.3623758114096767
563,0.770588886331112,-1.6352597001843887,1,0.37156851894481463
588,-1.4424816192060157,-2.377523962735105,1,0.7404136032010026
589,-1.460290823819262,-2.4710676706058514,1,0.7433818039698771
599,-0.382099798665381,-1.3224972507920794,1,0.5636832997775635
608,-0.1550119291873982,-1.5818862052299765,1,0.525835321531233
609,-0.6163172781896323,-1.507816620434098,1,0.6027195463649387
615,-0.8729853635815652,-1.644829371732212,1,0.6454975605969275
616,-0.7783202773562996,-1.7060700372701807,1,0.6297200462260499
617,-0.6527270906108887,-1.672397032651131,1,0.6087878484351481
618,-0.388767455371224,-1.6141296169846766,1,0.564794575895204
619,0.14211936307938905,-1.2823909727287732,1,0.4763134394867685
620,0.4940350821087997,-0.9409128290213011,0,0.4176608196485334
621,0.8029653357159531,-0.9348541913091686,0,0.3661724440473411
622,0.962430644024269,-0.9326594247606609,0,0.33959489266262183
623,0.9932630936235192,-1.5031165911598203,1,0.3344561510627468
648,-1.1567438619459502,-2.16290370887046,1,0.6927906436576583
649,-0.8691186355896434,-1.2237155921762102,1,0.6448531059316073
659,-0.5977673581959423,-1.9544178811412631,1,0.5996278930326571
674,-1.1173346183512494,-2.297842548387791,1,0.6862224363918749
675,-1.1128091875077335,-2.328656369092056,1,0.6854681979179555
676,-1.194324746517395,-2.0243619568491114,1,0.6990541244195659
677,-0.7973838266030442,-1.634549951253113,1,0.6328973044338407
678,-0.1928619200953713,-1.5015781243861177,1,0.5321436533492285
679,0.40687600237244337,-1.2028351007155575,1,0.43218733293792616
680,0.600532941699082,-0.6429575265375632,0,0.39991117638348633
681,0.9422764088831316,-0.5392014872165726,0,0.3429539318528114
682,1.2533941319849042,-0.7916454294321523,0,0.29110097800251594
683,1.3659573225858372,-1.204498788487271,1,0.2723404462356938
708,-1.0264898342530984,-1.8718960324090403,1,0.6710816390421831
709,-1.1405586701525385,-1.765872883835479,1,0.6900931116920898
710,-1.1900063715975784,-1.7996227100935251,1,0.698334395266263
718,-0.8057183633177494,-2.500399669701813,1,0.6342863938862916
719,-0.58341336145458,-1.8382607406169087,1,0.5972355602424301
733,-1.0821117399087843,-2.163515466062512,1,0.6803519566514641
734,-1.1056389123388333,-2.4712684491110632,1,0.6842731520564721
